pathway_id,pathway_name,n_genes,n_paths,mean_distance,min_distance
hsa03030,DNA replication,36,2,4.5,4.0
hsa00020,Citrate cycle (TCA cycle),30,0,inf,inf
hsa00380,Tryptophan metabolism,42,0,inf,inf
hsa00280,"Valine, leucine and isoleucine degradation",48,0,inf,inf
hsa02010,ABC transporters,45,0,inf,inf
hsa03260,Virion,5,0,inf,inf
hsa05219,Bladder cancer,41,4,3.0,3.0
hsa00620,Pyruvate metabolism,47,0,inf,inf
hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,30,0,inf,inf
hsa00030,Pentose phosphate pathway,31,0,inf,inf
hsa00260,"Glycine, serine and threonine metabolism",41,0,inf,inf
hsa00770,Pantothenate and CoA biosynthesis,21,0,inf,inf
hsa00030,Pentose phosphate pathway,31,0,inf,inf
hsa01040,Biosynthesis of unsaturated fatty acids,27,0,inf,inf
hsa03430,Mismatch repair,23,1,4.0,4.0
hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,12,0,inf,inf
hsa00280,"Valine, leucine and isoleucine degradation",48,0,inf,inf
hsa03022,Basal transcription factors,44,0,inf,inf
hsa04981,Folate transport and metabolism,31,0,inf,inf
hsa01210,2-Oxocarboxylic acid metabolism,33,0,inf,inf
hsa04977,Vitamin digestion and absorption,26,0,inf,inf
hsa03265,Virion,12,0,inf,inf
hsa00520,Amino sugar and nucleotide sugar metabolism,38,0,inf,inf
hsa00071,Fatty acid degradation,43,0,inf,inf
hsa05033,Nicotine addiction,41,19,2.210526315789474,1.0
hsa00520,Amino sugar and nucleotide sugar metabolism,38,0,inf,inf
hsa00630,Glyoxylate and dicarboxylate metabolism,31,0,inf,inf
hsa00640,Propanoate metabolism,32,0,inf,inf
hsa04964,Proximal tubule bicarbonate reclamation,23,0,inf,inf
hsa03060,Protein export,31,0,inf,inf
hsa04981,Folate transport and metabolism,31,0,inf,inf
hsa02010,ABC transporters,45,0,inf,inf
hsa00860,Porphyrin metabolism,46,0,inf,inf
hsa04930,Type II diabetes mellitus,47,4,2.75,2.0
hsa00514,Other types of O-glycan biosynthesis,49,0,inf,inf
hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,12,0,inf,inf
hsa04962,Vasopressin-regulated water reabsorption,44,0,inf,inf
hsa04122,Sulfur relay system,8,0,inf,inf
hsa04744,Phototransduction,29,0,inf,inf
hsa00524,"Neomycin, kanamycin and gentamicin biosynthesis",5,0,inf,inf
hsa03273,Virion,17,0,inf,inf
hsa00051,Fructose and mannose metabolism,35,0,inf,inf
hsa00280,"Valine, leucine and isoleucine degradation",48,0,inf,inf
hsa00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",6,0,inf,inf
hsa00620,Pyruvate metabolism,47,0,inf,inf
hsa00220,Arginine biosynthesis,23,1,3.0,3.0
hsa00640,Propanoate metabolism,32,0,inf,inf
hsa00380,Tryptophan metabolism,42,0,inf,inf
hsa03030,DNA replication,36,2,4.5,4.0
hsa00512,Mucin type O-glycan biosynthesis,36,0,inf,inf
hsa00515,Mannose type O-glycan biosynthesis,23,0,inf,inf
hsa00250,"Alanine, aspartate and glutamate metabolism",37,0,inf,inf
hsa00360,Phenylalanine metabolism,16,0,inf,inf
hsa05332,Graft-versus-host disease,45,3,2.0,2.0
hsa03410,Base excision repair,44,1,4.0,4.0
hsa04130,SNARE interactions in vesicular transport,33,0,inf,inf
hsa00120,Primary bile acid biosynthesis,17,0,inf,inf
hsa02010,ABC transporters,45,0,inf,inf
hsa00100,Steroid biosynthesis,20,0,inf,inf
hsa00514,Other types of O-glycan biosynthesis,49,0,inf,inf
hsa04950,Maturity onset diabetes of the young,26,0,inf,inf
hsa03030,DNA replication,36,2,4.5,4.0
