"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","Gene","Module"
"eqtl-a-ENSG00000100644","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000100644 || id:eqtl-a-ENSG00000100644","Inverse variance weighted",4,-0.00388434513862539,0.00272391932003508,0.153864507230718,"HIF1A","MR_E"
"eqtl-a-ENSG00000100644","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000100644 || id:eqtl-a-ENSG00000100644","MR Egger",4,-0.000372391391329433,0.00891017324106321,0.970460106840912,"HIF1A","MR_E"
"eqtl-a-ENSG00000100644","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000100644 || id:eqtl-a-ENSG00000100644","Weighted median",4,-0.00435432983853695,0.00238356188212477,0.0677273854033294,"HIF1A","MR_E"
"eqtl-a-ENSG00000100644","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000100644 || id:eqtl-a-ENSG00000100644","Weighted mode",4,-0.00382807491667042,0.00580815598941684,0.556913928175,"HIF1A","MR_E"
"eqtl-a-ENSG00000105329","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000105329 || id:eqtl-a-ENSG00000105329","Wald ratio",1,-0.0270909030981167,0.00917074878085913,0.00313627350727522,"TGFB1","MR_E"
"eqtl-a-ENSG00000113083","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000113083 || id:eqtl-a-ENSG00000113083","Wald ratio",1,0.00229333659293063,0.00700734397147358,0.743459025688301,"LOX","MR_E"
"eqtl-a-ENSG00000112715","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000112715 || id:eqtl-a-ENSG00000112715","Inverse variance weighted",5,0.000491610628549305,0.00199290349937983,0.805155422563024,"VEGFA","MR_E"
"eqtl-a-ENSG00000112715","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000112715 || id:eqtl-a-ENSG00000112715","MR Egger",5,0.00278621425148973,0.00316364571279944,0.443328928127188,"VEGFA","MR_E"
"eqtl-a-ENSG00000112715","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000112715 || id:eqtl-a-ENSG00000112715","Weighted median",5,0.000933181239677427,0.001577983356913,0.554268621866974,"VEGFA","MR_E"
"eqtl-a-ENSG00000112715","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000112715 || id:eqtl-a-ENSG00000112715","Weighted mode",5,0.00113677030429931,0.0113262321460612,0.924882944195487,"VEGFA","MR_E"
