Category,Variable,Value
Study population,"Total imaging studies, n",2177
,"Total patients, n",1421
,Study period,2012-2024
Hospital,  S,2177 (100.0)
Imaging modality,  CT_CE,1148 (52.7)
Imaging modality,  CT_NCE,307 (14.1)
Imaging modality,  MRI_CE,720 (33.1)
Imaging modality,  Facial_CT,2 (0.1)
Study type,  Initial,868 (39.9)
,  Follow-up,1309 (60.1)
Confirmed diagnosis,  TED,948 (43.5)
Confirmed diagnosis,  Lymphoma,312 (14.3)
Confirmed diagnosis,  Benign tumor,269 (12.4)
Confirmed diagnosis,  Other orbital disease,237 (10.9)
Confirmed diagnosis,  Pseudotumor,212 (9.7)
Confirmed diagnosis,  Cavernous hemangioma,71 (3.3)
Confirmed diagnosis,  Pleomorphic adenoma,40 (1.8)
Confirmed diagnosis,  Meningioma,24 (1.1)
Confirmed diagnosis,  Malignant tumor,31 (1.4)
Confirmed diagnosis,  IgG4-RD,20 (0.9)
Confirmed diagnosis,  Lymphangioma,13 (0.6)
  Lymphoma subsite,    conjunctival,159
  Lymphoma subsite,    orbital,111
  Lymphoma subsite,    no_biopsy,20
  Lymphoma subsite,    other,22
Report characteristics,"Report length, chars, median (IQR)",309 (184-467)
,Entirely normal report,217 (10.0)
,Mass/lesion mentioned,1117 (51.3)
,Clinical info provided,1010 (46.4)
,No differential diagnosis,1335 (61.3)
Biopsy,Biopsy performed,1070 (49.2)
