초기카테고리,최종카테고리,count
Benign tumor,Lymphoma,25
Other orbital disease,Lymphoma,25
Other orbital disease,Benign tumor,22
Other orbital disease,Pseudotumor,21
Pseudotumor,TED,19
TED,Pseudotumor,17
Pseudotumor,Benign tumor,15
Pseudotumor,Lymphoma,14
Benign tumor,Cavernous hemangioma,11
Other orbital disease,Cavernous hemangioma,10
Cavernous hemangioma,Benign tumor,9
Other orbital disease,Malignant tumor,9
TED,Other orbital disease,8
Benign tumor,Pleomorphic adenoma,7
Pleomorphic adenoma,Other orbital disease,6
Benign tumor,Other orbital disease,6
Other orbital disease,TED,5
Pseudotumor,Meningioma,4
TED,IgG4-RD,4
Benign tumor,Malignant tumor,3
Pseudotumor,IgG4-RD,3
Pleomorphic adenoma,Pseudotumor,3
Benign tumor,Pseudotumor,3
Lymphoma,Benign tumor,3
Other orbital disease,Pleomorphic adenoma,3
Other orbital disease,IgG4-RD,3
Pseudotumor,Other orbital disease,2
Cavernous hemangioma,Meningioma,2
Pleomorphic adenoma,Benign tumor,2
Lymphangioma,Lymphoma,1
Lymphoma,Other orbital disease,1
Benign tumor,TED,1
Pleomorphic adenoma,TED,1
Pseudotumor,Pleomorphic adenoma,1
TED,Benign tumor,1
TED,Meningioma,1
