Diagnosis,N,Biopsy_n,Biopsy_rate_pct,Diagnostic_basis
TED,948,184,19.4,Clinical + thyroid function tests
Lymphoma,312,292,93.6,Histopathological confirmation
Pseudotumor,212,102,48.1,Clinical + biopsy (partial) + response to steroids
Cavernous hemangioma,71,51,71.8,Clinical + imaging + biopsy (variable)
Pleomorphic adenoma,40,39,97.5,Histopathological confirmation
Meningioma,24,11,45.8,Imaging characteristics + clinical
IgG4-RD,20,19,95.0,Histopathological confirmation
Benign tumor,269,201,74.7,Clinical + imaging + biopsy (variable)
Malignant tumor,31,30,96.8,Histopathological confirmation
Other orbital disease,237,137,57.8,Clinical + imaging + biopsy (variable)
Lymphangioma,13,4,30.8,Clinical + imaging + biopsy (variable)
