Diagnosis,Patients_n,Patients_pct,Images_n,Images_pct
TED,628,42.984257357973995,989,43.8386524822695
Lymphoma,253,17.31690622861054,312,13.829787234042554
Benign tumor,155,10.609171800136892,283,12.544326241134751
Other orbital disease,167,11.430527036276523,244,10.815602836879433
Pseudotumor,149,10.198494182067078,218,9.663120567375886
Cavernous hemangioma,44,3.0116358658453115,77,3.4131205673758864
Pleomorphic adenoma,18,1.2320328542094456,45,1.9946808510638299
Meningioma,17,1.163586584531143,24,1.0638297872340425
Malignant tumor,13,0.8898015058179329,31,1.374113475177305
IgG4-RD,12,0.8213552361396305,20,0.8865248226950355
Lymphangioma,5,0.34223134839151265,13,0.576241134751773
Total,1461,100.0,2256,100.0
