Diagnosis,Total,Biopsy_done,Biopsy_rate,Ophthalmic_specimen,Non_ophthalmic
TED,989,194,19.61577350859454,42,107
Lymphoma,312,292,93.58974358974359,260,21
Benign tumor,283,210,74.20494699646643,192,4
Other orbital disease,244,141,57.786885245901644,102,16
Pseudotumor,218,105,48.1651376146789,64,29
Cavernous hemangioma,77,56,72.72727272727273,54,1
Pleomorphic adenoma,45,44,97.77777777777777,39,0
Meningioma,24,11,45.83333333333333,4,0
Malignant tumor,31,30,96.7741935483871,28,0
IgG4-RD,20,19,95.0,14,3
Lymphangioma,13,4,30.76923076923077,4,0
