초기진단,최종진단,count
안와질환,안와림프종,25
양성종양,안와림프종,25
안와질환,양성종양,22
안와질환,가성종양,21
가성종양,갑상선 눈병증,19
갑상선 눈병증,가성종양,17
가성종양,양성종양,15
가성종양,안와림프종,14
양성종양,해면혈관종,11
안와질환,해면혈관종,10
해면혈관종,양성종양,9
갑상선 눈병증,안와질환,8
양성종양,다형샘종,7
양성종양,안와질환,6
다형샘종,안와질환,6
안와질환,갑상선 눈병증,5
안와질환,안와 악성종양,5
가성종양,메닌지오마,4
안와질환,악성종양,4
갑상선 눈병증,IgG4 관련질환,4
가성종양,IgG4 관련질환,3
다형샘종,가성종양,3
안와질환,IgG4 관련질환,3
안와림프종,양성종양,3
안와질환,다형샘종,3
양성종양,가성종양,3
양성종양,안와 악성종양,2
가성종양,안와질환,2
해면혈관종,메닌지오마,2
다형샘종,양성종양,2
가성종양,다형샘종,1
림프관종,안와림프종,1
갑상선 눈병증,양성종양,1
다형샘종,갑상선 눈병증,1
갑상선 눈병증,메닌지오마,1
안와림프종,안와질환,1
양성종양,갑상선 눈병증,1
양성종양,악성종양,1
