gene,prior_set,p1,p2,p12,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4
RDH5,default,1e-04,1e-04,1e-05,0,9.04541729548012e-10,0,0.00905971197328675,0.990940287122172
RDH5,conservative,1e-04,1e-04,1e-06,0,8.36348069192696e-09,0,0.0837669768987495,0.91623301473777
RDH5,liberal,1e-04,1e-04,1e-04,0,9.1197776054336e-11,0,0.000913418979652211,0.99908658092915
CD55,default,1e-04,1e-04,1e-05,0,0.103019053439732,0,0.0963379318359194,0.800643014724349
CD55,conservative,1e-04,1e-04,1e-06,0,0.36868720575544,0,0.34477663801893,0.286536156225629
CD55,liberal,1e-04,1e-04,1e-04,0,0.0125544389314622,0,0.0117402426214776,0.97570531844706
CTNNB1,default,1e-04,1e-04,1e-05,3.30245184273931e-243,0.196237556605248,1.29113680074545e-242,0.767179846549369,0.036582596845383
CTNNB1,conservative,1e-04,1e-04,1e-06,3.41488465653651e-243,0.202918514182366,1.33509388185296e-242,0.793298679750735,0.003782806066899
CTNNB1,liberal,1e-04,1e-04,1e-04,2.48445989145178e-243,0.147631021374056,9.71332133996742e-243,0.577155292202847,0.275213686423097
FBN1,default,1e-04,1e-04,1e-05,2.51116912199103e-113,0.701620870779041,4.79212136907856e-114,0.133727260803157,0.164651868417803
FBN1,conservative,1e-04,1e-04,1e-06,2.94802754039721e-113,0.823679150822832,5.62578826302567e-114,0.156991277209164,0.0193295719680038
FBN1,liberal,1e-04,1e-04,1e-04,1.01180655869394e-113,0.28269884037437,1.93085355694669e-114,0.0538817232068899,0.66341943641874
TGFB1,default,1e-04,1e-04,1e-05,0.0280519596105657,0.944319694916107,0.0002847847384807,0.00956900087730538,0.0177745598575406
TGFB1,conservative,1e-04,1e-04,1e-06,0.0285080051298047,0.959671662178792,0.000289414532824295,0.00972456576597165,0.00180635239260766
TGFB1,liberal,1e-04,1e-04,1e-04,0.024183327578223,0.814089027567343,0.000245510214458007,0.00824934464560611,0.15323278999437
