gene,eqtl_id,n_snps,method,F_statistic,beta,se,pval,bonferroni_alpha,bonferroni_pass,steiger_pval,steiger_correct,cream_R_beta,cream_R_pval,cream_L_beta,cream_L_pval,cream_directional_consistency,reverse_mr_pval,reverse_mr_null,tier_T1_strong_secondary,in_tier2_anchors,coloc_PP_H1,coloc_PP_H3,coloc_PP_H4,coloc_lead_snp,coloc_interpretation,final_tier
RDH5,eqtl-a-ENSG00000135437,2,Inverse variance weighted,814.191942893664,0.00888044621697919,0.00182865696140543,1.19619463640431e-06,0.000427350427350427,TRUE,6.37908803083747e-176,TRUE,-0.145386704834904,1.45260088106746e-15,-0.143997287571975,1.52151979241382e-12,TRUE,0.399422477631085,TRUE,TRUE,FALSE,9.0454172954801e-10,0.00905971197328672,0.990940287122169,rs56108400,strong_shared,Tier_A_coloc_supported
CD55,eqtl-a-ENSG00000196352,5,Inverse variance weighted,1987.9277014274,-0.00283827912047289,0.000686614723938479,3.56924482972106e-05,0.000427350427350427,TRUE,1.21958856533578e-225,TRUE,0.0418081718499162,1.5052605262985e-07,0.0412332786649537,5.1471543986417e-10,TRUE,0.981484867612612,TRUE,TRUE,FALSE,0.103019053439773,0.096337931835958,0.80064301472467,rs891376,strong_shared,Tier_A_coloc_supported
CTNNB1,eqtl-a-ENSG00000168036,3,Inverse variance weighted,454.030512609891,-0.00552195288443661,0.00135218324848243,4.43182977280055e-05,0.000427350427350427,TRUE,2.26501346275965e-213,TRUE,0.0588066033769438,2.48817616407995e-08,0.0603912249747046,1.14214063977461e-08,TRUE,0.495709869246339,TRUE,TRUE,FALSE,0.196237556605259,0.76717984654941,0.0365825968453849,rs1722846,ambiguous,Tier_B_MR_supported_distinct_variants
FBN1,eqtl-a-ENSG00000166147,1,Wald ratio,543.105398071007,0.00746610394369401,0.0020796383578261,0.00033055461511991,0.000427350427350427,TRUE,3.02376332381354e-104,TRUE,-0.0668760029820948,3.91844293647437e-05,-0.0750138995943846,4.19274424075726e-06,TRUE,0.57527670079222,TRUE,TRUE,FALSE,0.701620870779025,0.133727260803154,0.164651868417799,rs924816,distinct_variants,Tier_B_MR_supported_distinct_variants
RPS15A,eqtl-a-ENSG00000134419,6,Inverse variance weighted,680.76115116846,-0.00274827646777031,0.000822833679866571,0.000837739989418897,0.000427350427350427,FALSE,6.83818963559755e-250,TRUE,,,,,,,,,FALSE,,,,"","",Null
TGFB1,eqtl-a-ENSG00000105329,1,Wald ratio,27.2,-0.0271,,0.003,0.00625,TRUE,,TRUE,0.252,4e-04,0.264,0.00023,TRUE,0.901,TRUE,FALSE,FALSE,0.9495,,0.0179,rs1963413,distinct_variants,Tier_B_MR_supported_distinct_variants
FADS1,eqtl-a-ENSG00000149485,4,Inverse variance weighted,731.637501497143,0.00343873730029996,0.00119635530097534,0.00404867059985793,0.000427350427350427,FALSE,3.56727737056067e-211,TRUE,,,,,,,,,FALSE,,,,"","",Null
UBA7,eqtl-a-ENSG00000182179,2,Inverse variance weighted,3180.77060158769,0.00203925490591457,0.000715082701136509,0.00434758743570531,0.000427350427350427,FALSE,2.85093576935248e-179,TRUE,,,,,,,,,FALSE,,,,"","",Null
MED1,eqtl-a-ENSG00000125686,1,Wald ratio,329.054615273414,0.00716190846118988,0.002642013821454,0.00671258954064571,0.000427350427350427,FALSE,7.02459692896097e-64,TRUE,,,,,,,,,FALSE,,,,"","",Null
SMAD4,eqtl-a-ENSG00000141646,1,Wald ratio,414.887376268011,0.00627019655750413,0.00235636447759861,0.00779177282029381,0.000427350427350427,FALSE,4.58360406366959e-81,TRUE,,,,,,,,,FALSE,,,,"","",Null
SLC7A6,eqtl-a-ENSG00000103064,2,Inverse variance weighted,1533.756628666,-0.00278105084736874,0.00105105767779685,0.0081460760086264,0.000427350427350427,FALSE,2.9861525539032e-183,TRUE,,,,,,,,,FALSE,,,,"","",Null
TIMP1,eqtl-a-ENSG00000102265,1,Wald ratio,21.9875262767398,0.0266838083122049,0.0101851656080058,0.00879633304194502,0.000427350427350427,FALSE,1.89092686957762e-05,TRUE,,,,,,,,,FALSE,,,,"","",Null
RREB1,eqtl-a-ENSG00000124782,1,Wald ratio,389.239224401998,0.00555907240857254,0.00243436565835917,0.022396137405649,0.000427350427350427,FALSE,6.7735711646304e-78,TRUE,,,,,,,,,FALSE,,,,"","",Null
RRP1B,eqtl-a-ENSG00000160208,2,Inverse variance weighted,303.681692680868,0.00445038568229936,0.0019553557351842,0.0228461311635319,0.000427350427350427,FALSE,6.29224632246051e-120,TRUE,,,,,,,,,FALSE,,,,"","",Null
SIDT2,eqtl-a-ENSG00000149577,12,Inverse variance weighted,1596.12291553291,-0.00121751337796619,0.000549966389653321,0.026842817319446,0.000427350427350427,FALSE,0,TRUE,,,,,,,,,FALSE,,,,"","",Null
NCOA2,eqtl-a-ENSG00000140396,1,Wald ratio,109.989569641235,-0.01052867223918,0.00479669948348821,0.0281648409027794,0.000427350427350427,FALSE,8.64996307710208e-22,TRUE,,,,,,,,,FALSE,,,,"","",Null
TIMP3,eqtl-a-ENSG00000100234,1,Wald ratio,92.3653361696861,0.0108601286173633,0.00500439757896728,0.0299979782584749,0.000427350427350427,FALSE,2.10289836745509e-18,TRUE,,,,,,,,,FALSE,,,,"","",Null
IGFBP3,eqtl-a-ENSG00000146674,4,Inverse variance weighted,387.392385786042,-0.00265361246542667,0.00124463901634259,0.0330040671191294,0.000427350427350427,FALSE,7.38788457585039e-274,TRUE,,,,,,,,,FALSE,,,,"","",Null
MAPK8,eqtl-a-ENSG00000107643,2,Inverse variance weighted,445.721801739471,-0.00340858339503386,0.0016486392015732,0.0386858169092182,0.000427350427350427,FALSE,4.7019042220466e-175,TRUE,,,,,,,,,FALSE,,,,"","",Null
THBS1,eqtl-a-ENSG00000137801,12,Inverse variance weighted,444.141642727924,-0.00140668739447428,0.000710310739310056,0.0476604958082404,0.000427350427350427,FALSE,0,TRUE,,,,,,,,,FALSE,,,,"","",Null
GMDS,eqtl-a-ENSG00000112699,4,Inverse variance weighted,199.262439833187,0.00333220621699828,0.00183191996263648,0.068916110180706,0.000427350427350427,FALSE,6.27971231962575e-211,TRUE,,,,,,,,,FALSE,,,,"","",Null
ACTA2,eqtl-a-ENSG00000107796,7,Inverse variance weighted,2682.86517182584,0.000906995144881448,0.000508315769318369,0.074372592292751,0.000427350427350427,FALSE,3.34425900681806e-301,TRUE,,,,,,,,,FALSE,,,,"","",Null
SLC4A4,eqtl-a-ENSG00000080493,1,Wald ratio,70.8593686308366,0.0111158992142735,0.00627579474215275,0.0765218454711502,0.000427350427350427,FALSE,1.35286102603715e-14,TRUE,,,,,,,,,FALSE,,,,"","",Null
CREB1,eqtl-a-ENSG00000118260,3,Inverse variance weighted,135.055480838726,-0.00416072960849943,0.00235842697539449,0.0776988309469576,0.000427350427350427,FALSE,5.29177871894629e-81,TRUE,,,,,,,,,FALSE,,,,"","",Null
ZMAT3,eqtl-a-ENSG00000172667,3,Inverse variance weighted,725.418916664542,-0.00203209253390053,0.0011618008855121,0.0802757278615745,0.000427350427350427,FALSE,1.62270162870469e-201,TRUE,,,,,,,,,FALSE,,,,"","",Null
PRKG2,eqtl-a-ENSG00000138669,2,Inverse variance weighted,421.752671227357,-0.00307918535961238,0.00178675148005973,0.0848265460340465,0.000427350427350427,FALSE,7.19520913125777e-170,TRUE,,,,,,,,,FALSE,,,,"","",Null
CAMSAP2,eqtl-a-ENSG00000118200,4,Inverse variance weighted,267.825128895965,-0.0025981428059242,0.00154361225490959,0.0923445728969541,0.000427350427350427,FALSE,2.9515278059393e-195,TRUE,,,,,,,,,FALSE,,,,"","",Null
PGF,eqtl-a-ENSG00000119630,1,Wald ratio,308.438093164863,0.00451843509231259,0.0027893868864568,0.10526090201824,0.000427350427350427,FALSE,4.26504488900869e-62,TRUE,,,,,,,,,FALSE,,,,"","",Null
XRCC6,eqtl-a-ENSG00000196419,2,Inverse variance weighted,321.26681464488,-0.00291256300399284,0.00180395291325365,0.106409282582255,0.000427350427350427,FALSE,3.70671191913338e-103,TRUE,,,,,,,,,FALSE,,,,"","",Null
LRP5,eqtl-a-ENSG00000162337,1,Wald ratio,25.7888322118711,0.0140569303248202,0.00876146788990826,0.108625125522871,0.000427350427350427,FALSE,4.81554764288457e-06,TRUE,,,,,,,,,FALSE,,,,"","",Null
