gene,phase,ensembl,gene_chr,gene_pos,chr,n_cis,pos_lo,pos_hi,min_P,v3_chr,v3_tss,v3_offset_Mb,v3_wrong
AEBP1,positive_control,ENSG00000106624,7,44149060,7,6202,43149063,45148773,2.4708e-109,,,,FALSE
ARHGAP18,positive_control,ENSG00000146376,6,129964323,6,7744,128964357,130964273,8.409e-31,,,,FALSE
BDH1,phase2_new,ENSG00000161267,3,197268424,3,6169,196268436,197902936,3.3468e-67,,,,FALSE
BMP3,positive_control,ENSG00000152785,4,81965402,4,6567,80965434,82964509,5.1988e-06,,,,FALSE
BTBD9,phase2_new,ENSG00000183826,6,38372075,6,8067,37372370,39371498,1.0504e-13,,,,FALSE
BTN3A1,audited_v3,ENSG00000026950,6,26408954,6,7734,25409010,27408785,1.1288954292536e-308,6,26438950,0.029996,FALSE
C17orf70,positive_control,ENSG00000185504,17,79513949,17,8676,78514207,80513383,2.2023e-45,,,,FALSE
CASTOR3,audited_v3,,,,,,,,,,,,FALSE
CD34,audited_v3,ENSG00000174059,1,208071170,1,6637,207071540,209071088,1.9195e-31,1,207994037,0.077133,FALSE
CD55,audited_v3,ENSG00000196352,1,207514582,1,6019,206515372,208514353,1.1288954292536e-308,1,207494818,0.019764,FALSE
CDHR1,positive_control,ENSG00000148600,10,85966893,10,8621,84968636,86966777,1.1092e-124,,,,FALSE
CDKN3,positive_control,ENSG00000100526,14,54875251,14,6247,53875384,55875071,2.0094e-38,,,,FALSE
CDRT15,positive_control,ENSG00000223510,17,14139584,17,8002,13139771,15138288,1.5753e-165,,,,FALSE
CHRNG,positive_control,ENSG00000196811,2,233407775,2,7102,232407930,234407598,0.0002287,,,,FALSE
CLYBL,positive_control,ENSG00000125246,13,100404153,13,6733,99404523,101403952,1.1288954292536e-308,,,,FALSE
CPNE1,phase2_new,ENSG00000214078,20,34233415,20,4421,33233471,35232192,1.1288954292536e-308,,,,FALSE
CTNNB1,positive_control,ENSG00000168036,3,41268957,3,6777,40270906,42268575,6.3969e-250,,,,FALSE
EPHB4,phase2_new,ENSG00000196411,7,100412654,7,6307,99413843,101412575,1.1288954292536e-308,,,,FALSE
FER1L4,positive_control,ENSG00000088340,20,34170995,20,4428,33171268,35170009,1.0067e-31,,,,FALSE
GATS,audited_v3,ENSG00000239521,7,99834056,7,4035,98834127,100833711,8.2467e-77,19,15261725,84.572331,TRUE
GJD2,positive_control,,,,,,,,,,,,FALSE
GNB3,positive_control,ENSG00000111664,12,6952837,12,6950,5953394,7952809,9.4283e-48,,,,FALSE
GOLGA8B,positive_control,ENSG00000215252,15,34849056,15,6851,33849218,35848605,1.4259e-122,,,,FALSE
KCNMA1,positive_control,ENSG00000156113,10,79017854,10,6567,78019112,80017446,1.1288954292536e-308,,,,FALSE
KCNQ5,positive_control,ENSG00000185760,6,73620047,6,6892,72620299,74619886,1.0082e-95,,,,FALSE
LAMA2,positive_control,ENSG00000196569,6,129521028,6,6863,128521114,130520943,3.2063e-35,,,,FALSE
