gene,ensembl,phase,n_cis_eqtl,derived_chr,derived_tss,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,PP.H4_p12_1e6,PP.H4_p12_5e6,n_shared,status
AEBP1,ENSG00000106624,positive_control,6202,7,44149060,2.1181019681197e-103,0.0580712619099922,4.22434393396332e-103,0.114990423965579,0.826938314124431,0.323331564023778,0.704940178407756,2320,ok
ARHGAP18,ENSG00000146376,positive_control,7744,6,129964323,6.15425552359987e-54,6.23536853492721e-30,9.86991464758982e-25,1,1.45359405547624e-26,1.45359405547624e-27,7.26797027738123e-27,2906,ok
BDH1,ENSG00000161267,phase2_new,6169,3,197268424,1.61970190606332e-60,0.985869686140206,1.42081042974213e-62,0.00864260937554588,0.00548770448425816,0.00055149424210873,0.00275140168180262,2691,ok
BMP3,ENSG00000152785,positive_control,6567,4,81965402,0.0909177821145267,0.511141323254243,0.0513313584084019,0.288527691488997,0.0580818447338314,0.00612854600514671,0.0299095224875069,2145,ok
BTBD9,ENSG00000183826,phase2_new,8067,6,38372075,8.3705944687658e-08,0.99484062800513,4.05047618775361e-10,0.00481362339036953,0.000345664493506242,3.45772062518616e-05,0.000172862122902201,2785,ok
BTN3A1,ENSG00000026950,audited_v3,7734,6,26408954,0,0.968384593314628,0,0.0291422960043131,0.0024731106810052,0.000247862760937848,0.00123808630273228,2588,ok
C17orf70,ENSG00000185504,positive_control,8676,17,79513949,1.72898564394752e-40,0.0188389003504375,9.00093715142724e-39,0.98073506271556,0.000426036934004578,4.2620035338722e-05,0.000213063853537743,3273,ok
CASTOR3,,audited_v3,,,,,,,,,,,,absent_from_eqtlgen
CD34,ENSG00000174059,audited_v3,6637,1,208071170,5.41124959979706e-25,0.968718353324475,1.72282190422068e-26,0.0308414044620224,0.000440242213500707,4.40416714527048e-05,0.000220169570719933,2672,ok
CD55,ENSG00000196352,audited_v3,6019,1,207514582,0,0.103971285486681,0,0.0879851399623309,0.80804357455055,0.29624624403363,0.67791368652269,2001,ok
CDHR1,ENSG00000148600,positive_control,8621,10,85966893,1.04421252929122e-118,0.0486723910285043,2.04090741559021e-117,0.951299070045969,2.85389255554587e-05,2.85396585975316e-06,1.4269666398202e-05,3271,ok
CDKN3,ENSG00000100526,positive_control,6247,14,54875251,2.27393524585195e-35,0.000532362280840543,4.26913094868956e-32,0.999467461880172,1.75838991101512e-07,1.75839018928932e-08,8.79195032805933e-08,2432,ok
CDRT15,ENSG00000223510,positive_control,8002,17,14139584,1.56093028207686e-159,0.0664620290075054,2.19245459540541e-158,0.933513679623731,2.42913687700094e-05,2.42918998451571e-06,1.21458319044456e-05,3705,ok
CHRNG,ENSG00000196811,positive_control,7102,2,233407775,2.00924789300339e-13,2.37077648844817e-14,0.876886920058775,0.103447054050922,0.0196660258900796,0.00200203749815238,0.00993066126581943,2827,ok
CLYBL,ENSG00000125246,positive_control,6733,13,100404153,1.11266149386237e-308,0.0479405182502173,1.11501062145003e-308,0.95203673200927,2.27497405127116e-05,2.27502063178727e-06,1.13749996455003e-05,2726,ok
CPNE1,ENSG00000214078,phase2_new,4421,20,34233415,0,0.0186615496702762,0,0.980259140625572,0.00107930970379868,0.000108035914169372,0.00053994623650593,1971,ok
CTNNB1,ENSG00000168036,positive_control,6777,3,41268957,7.44105092465733e-243,0.196232833775421,2.9093054095456e-242,0.767195437047326,0.0365717291773043,0.00378164405368912,0.0186264656166813,2264,ok
EPHB4,ENSG00000196411,phase2_new,6307,7,100412654,0,0.995217514666262,0,0.00401053971688258,0.000771945616902315,7.72482299794843e-05,0.00038612184098251,2030,ok
FER1L4,ENSG00000088340,positive_control,4428,20,34170995,2.62875326261682e-27,0.0186576321244034,1.3808400756284e-25,0.980052887535187,0.00128948034040896,0.000129097856273786,0.000645156128276439,2078,ok
GATS,ENSG00000239521,audited_v3,4035,7,99834056,1.62533656820028e-70,0.991004566734465,6.65888393195661e-73,0.0040551322495147,0.00494030101603068,0.000496236503535411,0.00247626726084765,1443,ok
GJD2,,positive_control,,,,,,,,,,,,absent_from_eqtlgen
GNB3,ENSG00000111664,positive_control,6950,12,6952837,6.42798603168265e-42,0.18686278962665,2.79686447598401e-41,0.813053796314498,8.34140588497792e-05,8.34203214346203e-06,4.17087689737443e-05,2204,ok
GOLGA8B,ENSG00000215252,positive_control,6851,15,34849056,9.57976256005131e-133,3.60834628160075e-18,2.65489002784981e-115,1,6.73964850245749e-21,6.73964850245756e-22,3.36982425122874e-21,2668,ok
KCNMA1,ENSG00000156113,positive_control,6567,10,79017854,0,3.88704595258119e-07,0,0.999999611184269,1.11171713899715e-10,1.111717139108e-11,5.55858569529317e-11,2655,ok
KCNQ5,ENSG00000185760,positive_control,6892,6,73620047,7.27347791792459e-102,6.22631098387652e-14,1.16818416824334e-88,0.999999999999943,2.31545914381038e-17,2.3154591438104e-18,1.15772957190519e-17,2702,ok
LAMA2,ENSG00000196569,positive_control,6863,6,129521028,6.39457920162537e-58,6.23536853492721e-30,1.02553348143038e-28,1,2.3277167133686e-30,2.32771671336862e-31,1.16385835668431e-30,2628,ok
LCAT,ENSG00000213398,audited_v3,4603,16,67975843,1.69153090408384e-158,0.953407547879585,8.1831999267482e-160,0.0461229832989263,0.000469468821513605,4.69667266237789e-05,0.000234789523937345,1437,ok
LGALS9,ENSG00000168961,phase2_new,4314,17,25966705,0,0.995476643322732,0,0.00420262764275688,0.000320729034373038,3.20821641506788e-05,0.000160390238089615,2240,ok
LRRTM2,,phase2_new,,,,,,,,,,,,absent_from_eqtlgen
NOG,ENSG00000183691,positive_control,6497,17,54672005,1.79223233535726e-56,1.17004963130808e-08,1.53175751388064e-48,0.999999988289574,9.92716411095659e-12,9.92716411104514e-13,4.96358205550297e-12,2303,ok
NPAT,ENSG00000149308,audited_v3,6806,11,108060655,4.24037135278886e-65,0.842819639834035,1.59705118853582e-66,0.0316175557937901,0.125562804372163,0.0141560008906941,0.0669869359533843,2266,ok
NT5DC1,ENSG00000178425,positive_control,6690,6,116494433,2.06576557834079e-93,0.0729469333890305,2.54289969556448e-92,0.897927237914731,0.0291258286962332,0.00299098632954375,0.0147781269450431,2457,ok
PCOLCE,ENSG00000106333,phase2_new,5869,7,100202799,3.56235624064927e-12,0.99557598434733,1.35359259560065e-14,0.003782259755733,0.000641755893362124,6.42126773138976e-05,0.000320980942386779,1608,ok
PDGFRA,ENSG00000134853,phase2_new,6922,4,55129839,0.941870745723229,0.0553932066530767,0.00250201045671186,0.000147061008749587,8.69761582332338e-05,8.69829671331155e-06,4.3489970411891e-05,2379,ok
PRMT6,ENSG00000198890,audited_v3,6885,1,107600591,0,0.675513275890434,0,0.0674807550198809,0.257005969089569,0.0334340789942316,0.147450860147446,2268,ok
RASGRF1,ENSG00000058335,positive_control,7981,15,79317702,1.81448103885907e-06,0.000500763337436574,0.00360844239342732,0.995863594670396,2.53851177024676e-05,2.53856976794988e-06,1.26927199543288e-05,2895,ok
RBFOX1,,positive_control,,,,,,,,,,,,absent_from_eqtlgen
RBM45,ENSG00000155636,positive_control,6390,2,178989341,4.25958643105445e-74,6.90803573030212e-05,6.16569480083908e-70,0.999928997659062,1.92198362854107e-06,1.92198695316579e-07,9.60992737776691e-07,2789,ok
